lambda,size,i,mean_cluster_size,std_cluster_size
0.865,1100,3,746.1067,320.7032188341225
0.865,1100,4,573.1154,203.71505164092935
0.865,1100,5,475.2779,151.91908903278497
0.865,1150,1,700266.6493,6659.655199906236
0.865,1150,2,1263.7861,833.746806602905
0.865,1150,3,777.4716,345.1553236054476
0.865,1150,4,597.8299,212.73843547930647
0.865,1150,5,499.7433,156.90185475102712
0.865,1200,1,762800.5601,7512.812637086859
0.865,1200,2,1328.4035,843.072367112912
0.865,1200,3,816.5185,345.0075264064217
0.865,1200,4,632.9117,226.66457461643313
0.865,1200,5,527.7712,163.9268826423698
0.865,1250,1,828329.919,8058.051041949254
0.865,1250,2,1360.8315,883.4783614267307
0.865,1250,3,833.1484,355.189982924402
0.865,1250,4,642.0485,220.68778139588005
0.865,1250,5,537.6193,163.96147018089454
0.865,1300,1,895795.5244,8245.013557269385
0.865,1300,2,1427.5223,907.7626642510536
0.865,1300,3,884.4813,370.280226308278
0.865,1300,4,682.6516,236.64964636135065
0.865,1300,5,569.5578,175.1004748045752
0.865,1350,1,964780.299,8687.370752423256
0.865,1350,2,1433.3436,901.5286144783828
0.865,1350,3,898.6558,375.0564656976416
0.865,1350,4,699.2905,237.48203696603696
0.865,1350,5,588.7853,174.85913809614752
