L,lambda,R_any_mean,R_x_mean,R_y_mean
100,0.861282,0.6841602,0.4994352,0.5242324
100,0.861283,0.6834175,0.4985644,0.5236624
100,0.861284,0.683082,0.4981154,0.5234569
100,0.861285,0.6809442,0.4963938,0.5214013
100,0.861286,0.6841531,0.4995012,0.5244221
100,0.861287,0.6842078,0.4992008,0.5244308
100,0.861288,0.6843062,0.4990955,0.5243401
100,0.861289,0.6826448,0.4974803,0.5235551
100,0.86129,0.6827443,0.4975566,0.5230174
100,0.861291,0.6819102,0.4970028,0.5225205
100,0.861292,0.6788964,0.4942934,0.5197389
100,0.861293,0.6796313,0.4947992,0.5200102
100,0.861294,0.6804561,0.4956487,0.5204241
100,0.861295,0.6793018,0.4946613,0.5197141
100,0.861296,0.680156,0.4951923,0.5208378
100,0.861297,0.6805987,0.4960678,0.5208754
100,0.861298,0.6789965,0.4946046,0.5199051
100,0.861299,0.680382,0.4950798,0.5215436
100,0.8613,0.6821913,0.4968904,0.5231336
100,0.861301,0.6803508,0.4954143,0.5209908
100,0.861302,0.6786876,0.4942297,0.5195106
100,0.861303,0.6788262,0.4939549,0.5193428
100,0.861304,0.6758679,0.4913677,0.5161785
100,0.861305,0.6765145,0.4921059,0.5170239
100,0.861306,0.6724623,0.4881305,0.5126143
100,0.861307,0.6728268,0.4880374,0.5128109
100,0.861308,0.6725318,0.4878694,0.5124275
100,0.861309,0.6718955,0.4877723,0.5120109
100,0.86131,0.6734777,0.4896254,0.5135166
100,0.861311,0.673779,0.4891497,0.513922
100,0.861312,0.6748902,0.4903333,0.5155076
100,0.861313,0.6758491,0.4918363,0.5158726
100,0.861314,0.676723,0.4916572,0.5172561
100,0.861315,0.6750653,0.490037,0.5154491
100,0.861316,0.6756301,0.4911729,0.5161978
100,0.861317,0.6757933,0.4908219,0.5164824
100,0.861318,0.6756592,0.4908259,0.5159192
100,0.861319,0.6746084,0.4901592,0.5151781
100,0.86132,0.6736876,0.4893437,0.5137116
100,0.861321,0.6719263,0.4873995,0.5122099
100,0.861322,0.6732918,0.4888649,0.5134913
100,0.861323,0.6755401,0.4908755,0.5156132
100,0.861324,0.6767188,0.4918127,0.5170582
100,0.861325,0.6777084,0.4927416,0.5178526
100,0.861326,0.6805832,0.4959463,0.520729
100,0.861327,0.6815857,0.496975,0.5218515
100,0.861328,0.6837563,0.4996915,0.523839
100,0.861329,0.6830478,0.4981998,0.5236088
100,0.86133,0.6832784,0.4977937,0.5237163
100,0.861331,0.6844224,0.4991,0.5249142
100,0.861332,0.6833088,0.4983351,0.5244551
100,0.861333,0.6843206,0.4992267,0.5245523
100,0.861334,0.683672,0.4994652,0.5235891
100,0.861335,0.6858555,0.5008582,0.5262442
100,0.861336,0.6850408,0.4997897,0.5256667
100,0.861337,0.687012,0.5024696,0.5275502
100,0.861338,0.6892838,0.5039811,0.5293012
100,0.861339,0.6934154,0.5078405,0.5339106
100,0.86134,0.696778,0.5115451,0.5377673
100,0.861341,0.7129154,0.5273741,0.5540376
100,0.861342,0.7129135,0.5270914,0.5541364
100,0.861343,0.7141421,0.528325,0.5552437
100,0.861344,0.7101428,0.5250112,0.551625
100,0.861345,0.7133936,0.5280449,0.5551403
100,0.861346,0.7126143,0.5272147,0.5538823
100,0.861347,0.7125715,0.5268623,0.553387
100,0.861348,0.7130029,0.5277794,0.5542474
100,0.861349,0.713984,0.5283068,0.5556052
100,0.86135,0.7130916,0.5273406,0.5541606
100,0.861351,0.7130054,0.5277615,0.5544159
100,0.861352,0.714697,0.5298613,0.5558678
100,0.861353,0.7177005,0.5319876,0.5591317
100,0.861354,0.716598,0.5312595,0.5580072
100,0.861355,0.724327,0.5387081,0.5657494
100,0.861356,0.7252825,0.5397421,0.5676306
100,0.861357,0.7222022,0.5374214,0.5638394
100,0.861358,0.7240122,0.5381112,0.5660751
100,0.861359,0.7241467,0.5385493,0.5663589
100,0.86136,0.7244142,0.5395325,0.5664031
100,0.861361,0.7237146,0.5398824,0.5649229
100,0.861362,0.7242831,0.5389136,0.5662532
100,0.861363,0.7242348,0.539139,0.5661211
100,0.861364,0.7240988,0.5395173,0.5653131
100,0.861365,0.7243006,0.538942,0.566711
100,0.861366,0.7232298,0.5375356,0.565016
100,0.861367,0.7237425,0.5390237,0.5649757
100,0.861368,0.7240161,0.5382524,0.566291
100,0.861369,0.7231287,0.5377032,0.5651517
100,0.86137,0.7245677,0.5396531,0.5663421
100,0.861371,0.7254494,0.539817,0.5673115
100,0.861372,0.7246331,0.539169,0.5664604
100,0.861373,0.7243489,0.5386106,0.5662136
100,0.861374,0.7246263,0.5392838,0.5664653
100,0.861375,0.7235459,0.5389246,0.5649504
100,0.861376,0.723132,0.5376054,0.5655399
100,0.861377,0.7244859,0.5390727,0.5667161
100,0.861378,0.7237207,0.5388538,0.5652547
100,0.861379,0.7238093,0.5388181,0.5656379
100,0.86138,0.7242656,0.5394057,0.5656373
100,0.861381,0.7240127,0.5387465,0.5659419
100,0.861382,0.7235569,0.5385044,0.5651827
100,0.861383,0.7241045,0.5395023,0.5654466
100,0.861384,0.723602,0.5386657,0.5652828
100,0.861385,0.72555,0.5405085,0.5672884
100,0.861386,0.7238941,0.538727,0.5657951
100,0.861387,0.7237013,0.5385705,0.5653079
100,0.861388,0.7236643,0.5385084,0.5654995
100,0.861389,0.7255999,0.5406624,0.5678289
100,0.86139,0.7249124,0.539462,0.5668461
100,0.861391,0.7239942,0.5391513,0.565623
100,0.861392,0.7251309,0.5402164,0.5672031
100,0.861393,0.724941,0.5391938,0.5671969
100,0.861394,0.7274026,0.5420199,0.5693508
100,0.861395,0.7253101,0.5406069,0.5662032
100,0.861396,0.7241259,0.5384675,0.5665987
100,0.861397,0.7243334,0.5386974,0.565877
100,0.861398,0.7262857,0.5408542,0.5684539
100,0.861399,0.7258913,0.540966,0.5678608
100,0.8614,0.7242054,0.5395593,0.5663022
100,0.861401,0.7255844,0.5415376,0.5666799
100,0.861402,0.7257037,0.5407255,0.5677416
100,0.861403,0.7266594,0.5408024,0.5687104
100,0.861404,0.7268144,0.5414075,0.5690446
100,0.861405,0.7258158,0.5403634,0.568035
100,0.861406,0.7273601,0.5417563,0.5696612
100,0.861407,0.7259054,0.5405757,0.5678288
100,0.861408,0.7269161,0.5424189,0.5684486
100,0.861409,0.7263466,0.5412654,0.5685467
100,0.86141,0.7259681,0.5407077,0.567994
100,0.861411,0.7277121,0.5416815,0.5700611
100,0.861412,0.7267841,0.541011,0.5683776
100,0.861413,0.7276054,0.5423439,0.5699154
100,0.861414,0.7271981,0.5427785,0.5684854
100,0.861415,0.7280382,0.542661,0.5699043
100,0.861416,0.7264757,0.5413728,0.5685586
