lambda,A_mean,A_std,A_count,A_se,chi,chi_se,chi_std,S1_mean,S1_std
0.8431999999999974,0.8747704037773939,0.0023333477255086,5249.0,3.220632548203505e-05,5.443474360933287e-06,1.0628623243610849e-07,7.700435706209914e-06,0.0024752675930552,0.0005917221138247
0.8432999999999974,0.8748979963926109,0.0018666780956901,5589.0,2.4969070554020103e-05,3.4838636585599048e-06,6.592128459313705e-08,4.928249841080093e-06,0.0024599232983346,0.0005526886322568
0.8433999999999974,0.8745500021438275,0.0020741179942037,5490.0,2.7992860961739923e-05,4.3011818536831115e-06,8.21174209307804e-08,6.084452054505246e-06,0.0024576067273082,0.0005716765378321
0.8434999999999974,0.8742189411085741,0.0018354821717353,5359.0,2.5073114964087046e-05,3.368366141454082e-06,6.50899569353525e-08,4.76492273437051e-06,0.0024446219422742,0.0005285267385533
0.8435999999999974,0.8745431756939906,0.0018849919678733,5241.0,2.603768832496435e-05,3.552516757765467e-06,6.941740303266323e-08,5.0254556208717646e-06,0.0024820797954254,0.0005814289415916
0.8436999999999973,0.8744862833099293,0.0018845718338506,4254.0,2.8894418135263913e-05,3.5507761096953416e-06,7.70180818989139e-08,5.023326898794836e-06,0.0024658356914511,0.000564497003262
0.8437999999999973,0.87336782676061,0.0019537180270687,10000.0,1.953718027068736e-05,3.816632427766642e-06,5.398343073318322e-08,5.398343073318322e-06,0.002534603691101,0.0005864758836042
0.8438999999999973,0.87336782676061,0.0019537180270687,10000.0,1.953718027068736e-05,3.816632427766642e-06,5.398343073318322e-08,5.398343073318322e-06,0.002534603691101,0.0005864758836042
0.8439999999999973,0.8733656391366323,0.0019248125363657,10000.0,1.924812536365796e-05,3.70453280973404e-06,5.2397864902288526e-08,5.239786490228852e-06,0.0025523397445678,0.0006098993613434
0.8440999999999973,0.8737168852122624,0.0019065837116531,10000.0,1.90658371165314e-05,3.634697943510901e-06,5.1410102589401055e-08,5.141010258940106e-06,0.0025302248001098,0.0005564152000734
0.8441999999999973,0.8732041025336582,0.0019609860112842,10000.0,1.9609860112842618e-05,3.845081590014843e-06,5.4385822997312286e-08,5.4385822997312285e-06,0.0025418217658996,0.0005999161587645
0.8442999999999973,0.8734094496170681,0.0021232767048921,10000.0,2.1232767048921537e-05,4.507853134883e-06,6.376023420505246e-08,6.376023420505246e-06,0.0025260065078735,0.0005844484237782
0.8443999999999973,0.8734450175682705,0.0019382642385853,10000.0,1.9382642385853995e-05,3.7564925713384767e-06,5.3132797139590985e-08,5.313279713959099e-06,0.002522573852539,0.0005582854213064
0.8444999999999973,0.8731979629151027,0.0020445398791049,10000.0,2.044539879104908e-05,4.179725302866366e-06,5.911910974857653e-08,5.911910974857653e-06,0.0025747319221496,0.0005983590430034
0.8445999999999972,0.8728496670770646,0.0021012544155048,10000.0,2.1012544155048977e-05,4.41482859170339e-06,6.244447113537888e-08,6.244447113537888e-06,0.002571942615509,0.0005870555035901
0.8446999999999972,0.8724076066033045,0.0020551474568746,10000.0,2.0551474568746395e-05,4.223208706299886e-06,5.973415019162977e-08,5.9734150191629766e-06,0.0025916094779968,0.0006090058873175
0.8447999999999972,0.8720879329363505,0.0019535686756647,10000.0,1.953568675664752e-05,3.816048927629545e-06,5.3975177553458864e-08,5.3975177553458865e-06,0.0025876359939575,0.0005834815470606
0.8448999999999972,0.8719002230453491,0.0019063817058875,10000.0,1.906381705887584e-05,3.6339277794672498e-06,5.139920919205796e-08,5.139920919205796e-06,0.0026043633460998,0.0005838365665838
0.8449999999999972,0.8719295627657572,0.0019213371953124,10000.0,1.9213371953124768e-05,3.6911674645701e-06,5.22088220193803e-08,5.22088220193803e-06,0.0026126804351806,0.0005952731170772
0.8450999999999972,0.8716749583069483,0.001967534425505,10000.0,1.967534425505006e-05,3.870804596517452e-06,5.4749655817965175e-08,5.474965581796517e-06,0.00261125125885,0.0006133566614671
0.8451999999999972,0.871021810043653,0.0021351858671133,10000.0,2.135185867113368e-05,4.5585627850286414e-06,6.44774845392121e-08,6.447748453921211e-06,0.0026434158325195,0.0005959626350783
0.8452999999999972,0.8710057732137044,0.0019125502419255,10000.0,1.9125502419255455e-05,3.6574826430824103e-06,5.1732375241694625e-08,5.1732375241694625e-06,0.0026497074127197,0.0006239401024421
0.8453999999999972,0.8707609107033412,0.0019080271831048,10000.0,1.90802718310483e-05,3.640203674604159e-06,5.1487977069000786e-08,5.148797706900079e-06,0.0026517334938049,0.0006083847026459
0.8454999999999971,0.8703768988307318,0.0019559962035561,10000.0,1.9559962035561623e-05,3.825538556156971e-06,5.4109401303033723e-08,5.410940130303372e-06,0.0026504398345947,0.0005993453155707
0.8455999999999971,0.8697211001269023,0.0022559005253697,10000.0,2.2559005253697653e-05,5.088578271639221e-06,7.197415990365972e-08,7.197415990365972e-06,0.0027335278511047,0.00065364843843
0.8456999999999971,0.86974876959006,0.0022007124725164,10000.0,2.2007124725164036e-05,4.842651073033721e-06,6.849570235339179e-08,6.849570235339179e-06,0.0027158318519592,0.0006234685240226
0.8457999999999971,0.8693653460311889,0.0020553526312464,10000.0,2.0553526312464705e-05,4.224051991408295e-06,5.974607783067319e-08,5.974607783067319e-06,0.0027081668853759,0.0006004244824417
0.8458999999999971,0.868927687087059,0.0019899743176126,10000.0,1.989974317612678e-05,3.9596017850085374e-06,5.600562609303754e-08,5.600562609303754e-06,0.0027408264160156,0.0006380713639142
0.8459999999999971,0.8692699484682084,0.001852933419542,10000.0,1.852933419542017e-05,3.433018920917519e-06,4.855750262333982e-08,4.855750262333982e-06,0.0027194487571716,0.0006246202264018
0.8460999999999971,0.8692503103796642,0.0020421819901064,10000.0,2.042181990106434e-05,4.170090229793644e-06,5.8982828798802134e-08,5.898282879880213e-06,0.0027437698364257,0.0006485344780781
0.8461999999999971,0.8686383461745579,0.0021261073405369,10000.0,2.126107340536905e-05,4.519880390407849e-06,6.393035079472868e-08,6.393035079472868e-06,0.0027419932365417,0.0006564039957294
0.846299999999997,0.8678699609676996,0.0021271651415938,10000.0,2.127165141593833e-05,4.5243790565141495e-06,6.39939810867778e-08,6.399398108677781e-06,0.0027856050491333,0.0006277997901126
0.846399999999997,0.8672262999947867,0.0020049437493612,10000.0,2.0049437493612417e-05,4.0193974578661695e-06,5.685139147448755e-08,5.6851391474487545e-06,0.0028401770591735,0.0006768485327691
0.846499999999997,0.8666373258892696,0.0021696334281608,10000.0,2.1696334281608525e-05,4.706838481638442e-06,6.657473412725749e-08,6.657473412725749e-06,0.0029222939491271,0.0007239925635351
0.846599999999997,0.8659703937037786,0.0021727739089908,10000.0,2.1727739089908992e-05,4.720474364949823e-06,6.676760356755884e-08,6.6767603567558845e-06,0.0028759079933166,0.0006795645058629
0.846699999999997,0.8651828588549297,0.0021720724006902,10000.0,2.172072400690227e-05,4.717426723699347e-06,6.67244969499842e-08,6.67244969499842e-06,0.0029224970817565,0.000664483467817
0.846799999999997,0.8646533143663406,0.0021750405762858,10000.0,2.175040576285867e-05,4.730328428292907e-06,6.69069819747526e-08,6.69069819747526e-06,0.0029538661956787,0.0006901668343653
0.846899999999997,0.864789620277087,0.0021268978129961,10000.0,2.126897812996143e-05,4.523241937337552e-06,6.397789738371777e-08,6.397789738371777e-06,0.0029040970802307,0.0006676749876821
0.846999999999997,0.864260971918106,0.0019776423046555,10000.0,1.9776423046555867e-05,3.910677978335997e-06,5.531363518706784e-08,5.531363518706784e-06,0.0029875262260437,0.0007077578925391
0.847099999999997,0.8643647268263499,0.0022225866964592,10000.0,2.222586696459237e-05,4.939397634129428e-06,6.986411059578835e-08,6.9864110595788345e-06,0.0029740802764892,0.0006939898103783
0.847199999999997,0.8633699321095147,0.0019913961145171,10000.0,1.9913961145171184e-05,3.965261919369745e-06,5.608568448538632e-08,5.608568448538632e-06,0.0030752000808715,0.0007352800358546
0.8472999999999969,0.8630285097885131,0.0019662750450253,10000.0,1.9662750450253164e-05,3.865850929152259e-06,5.4679589871540345e-08,5.467958987154034e-06,0.003046029472351,0.0007145781924494
0.8473999999999969,0.8629353631305694,0.002217068616717,10000.0,2.217068616717098e-05,4.9149017119498595e-06,6.951763397149285e-08,6.9517633971492855e-06,0.0030296486854553,0.0006842988599043
