lambda,size,i,mean_cluster_size,std_cluster_size
0.86055,950,5,11078.3803,6300.566308408522
0.86055,1000,1,184787.1944,72607.71069565444
0.86055,1000,2,51680.8205,28495.186071770197
0.86055,1000,3,27167.8386,15308.127590394017
0.86055,1000,4,17833.6802,9975.32955971433
0.86055,1000,5,12873.0991,7039.059668519716
0.86055,1050,1,203093.5719,79188.92974852548
0.86055,1050,2,55257.1745,30382.456495394163
0.86055,1050,3,29648.2457,16408.65390846063
0.86055,1050,4,19411.7382,10707.07440495732
0.86055,1050,5,13974.5803,7497.209983700997
0.86055,1100,1,219693.3417,87441.07431609987
0.86055,1100,2,60247.8634,32626.505279879697
0.86055,1100,3,32567.6754,18169.532193318773
0.86055,1100,4,21334.5038,11863.913260352612
0.86055,1100,5,15397.0081,8286.031626263899
0.86055,1150,1,230310.7834,92234.76606681032
0.86055,1150,2,67842.8777,35961.01714764437
0.86055,1150,3,36169.7669,19195.79281819212
0.86055,1150,4,23917.0723,12682.378040026551
0.86055,1150,5,17381.5367,9038.315281730678
0.86055,1200,1,244052.8359,100396.34537150124
0.86055,1200,2,72946.1025,38093.69249940753
0.86055,1200,3,39955.0661,21199.96586617543
0.86055,1200,4,26356.9535,13857.992377744042
0.86055,1200,5,19217.4467,9897.04677624837
0.86055,1250,1,259429.7258,108561.78377889034
0.86055,1250,2,78470.7146,39570.66746125063
0.86055,1250,3,43616.7172,22620.114223163662
0.86055,1250,4,28869.2841,14896.551764070542
0.86055,1250,5,21094.3784,10672.68315586048
0.86055,1300,1,268524.27,115072.02331449409
0.86055,1300,2,84474.7643,41618.002190280306
0.86055,1300,3,47362.5097,23420.14821366724
0.86055,1300,4,31649.1136,15669.647814528516
0.86055,1300,5,23259.9085,11360.738769396396
0.86055,1350,1,290392.689,122832.2012078764
0.86055,1350,2,91758.9376,45250.47944494186
0.86055,1350,3,51239.6909,25501.791669982627
0.86055,1350,4,34324.4456,17226.153100094733
0.86055,1350,5,25064.5801,12317.674336362756
0.860555,200,1,13461.8317,3390.39670775541
