lambda,second_max_cluster_size_mean,second_max_cluster_size_std,third_max_cluster_size_mean,third_max_cluster_size_std,fourth_max_cluster_size_mean,fourth_max_cluster_size_std,fifth_max_cluster_size_mean,fifth_max_cluster_size_std
0.8547999999999988,0.0063217560768127,0.0013112560018639,0.0054478680610656,0.0009605065281416,0.0048966376304626,0.0007648708624134,0.0044984137535095,0.0006484598388754
0.8548999999999988,0.0064924104690551,0.0014096843312936,0.0055786900520324,0.0010290842931953,0.0049976628303527,0.0008132955809697,0.0045866181373596,0.0006862857946133
0.8549999999999988,0.0068219508171081,0.0014224515568244,0.0058897789001464,0.0010627880343141,0.0052868110656738,0.0008689215841641,0.0048472992897033,0.0007359499659582
0.8550999999999987,0.0067947499275207,0.0014454880666524,0.0058373635292053,0.0010483077520724,0.0052331639289855,0.0008378846228033,0.0048028518676757,0.0007040110730566
0.8551999999999987,0.0067374317169189,0.0014518228298512,0.0058097544670104,0.0010510308030679,0.0052230062484741,0.0008475114066914,0.0047920572280883,0.0007197745993407
0.8552999999999987,0.007046987247467,0.0015238454437755,0.0060711466789245,0.0011317208637249,0.0054521059036254,0.0009232779199864,0.0049902542114257,0.0007696658795049
0.8553999999999987,0.0073557088851928,0.0016281923401196,0.0063145163536071,0.0011957331267666,0.0056268959999084,0.0009402659009582,0.0051364718437194,0.0007914422510641
0.8554999999999987,0.0078311774253845,0.0017260110110283,0.0066889411926269,0.0012477950217962,0.0059699633598327,0.0009850813040134,0.0054511724472045,0.0008254085974121
0.8555999999999987,0.0085274289131164,0.0018802039758164,0.0072688648223876,0.0013648952350543,0.0064609384536743,0.0010833776124832,0.0058830794334411,0.0009070438716906
0.8556999999999987,0.0091659445762634,0.0021531315251957,0.0077620633125305,0.0015132516111757,0.0068912674903869,0.0012273610981103,0.0062483558654785,0.0010221493657582
0.8557999999999987,0.0095235033035278,0.0021853236345392,0.0080643325805664,0.0015897885147777,0.0071247109413146,0.0012581987170988,0.0064527817726135,0.0010389912691186
0.8558999999999987,0.0096474081993103,0.002288620380661,0.0081624736785888,0.0016449787633785,0.0072190744400024,0.001278434503181,0.00653922290802,0.0010643030806063
0.8559999999999987,0.0097818365097045,0.0022031145170879,0.008297370147705,0.0016180379771324,0.0073663295745849,0.0013078083754442,0.0066757276535034,0.0011019872615396
0.8560999999999986,0.0099970297813415,0.0023306933692465,0.00843064661026,0.0016726502328095,0.007434056854248,0.0013003650124255,0.0067203283309936,0.0010717139816799
