size,lambda,activity_mean,chi_times_N2
1024.0,0.863,0.6201736275132465,30.886754070808248
1024.0,0.864,0.6152124168658266,25.480998224553794
1024.0,0.865,0.5936961515227972,32.94851002401576
1024.0,0.866,0.5333834763828954,32.7800937546534
1024.0,0.867,0.4325508972485858,54.71624624953877
1024.0,0.868,0.4059413222821547,53.77390643502302
1024.0,0.869,0.4088704543789233,60.17434110023468
1024.0,0.87,0.3695979960560825,46.74171261158197
1024.0,0.871,0.2340405920489626,133.2593485580075
1024.0,0.872,0.1448426562809946,204.56320788405944
1024.0,0.873,0.2129626183827722,135.22604751123907
1024.0,0.874,0.2252648484675093,83.54791446527044
1024.0,0.875,0.0978283529504139,59.21571130197229
1024.0,0.876,0.0049057006835937,0.0
1024.0,0.877,0.0048341751098632,0.0
1024.0,0.878,0.0044879913330078,0.0
1024.0,0.879,0.0048074722290039,0.0
1024.0,0.88,0.0049819946289062,0.0
1024.0,0.881,0.0049428939819335,0.0
1024.0,0.882,0.0046606063842773,0.0
1024.0,0.883,0.0046100616455078,0.0
1024.0,0.884,0.0046377182006835,0.0
1024.0,0.885,0.004521369934082,0.0
1024.0,0.886,0.0046644210815429,0.0
1024.0,0.887,0.0045146942138671,0.0
1024.0,0.888,0.0047855377197265,0.0
1024.0,0.889,0.0046968460083007,0.0
1024.0,0.89,0.0048561096191406,0.0
1024.0,0.891,0.0047025680541992,0.0
1024.0,0.892,0.0043869018554687,0.0
1024.0,0.893,0.0045099258422851,0.0
1024.0,0.894,0.004796028137207,0.0
1024.0,0.895,0.0047035217285156,0.0
1024.0,0.896,0.0044527053833007,0.0
1024.0,0.897,0.0045419270833328,6.028162528072869e-06
1024.0,0.898,0.0044904286702469,6.028162452399126e-06
1024.0,0.899,0.0047250322977695,6.028615019218388e-06
1024.0,0.9,0.0046243667602539,0.0
